	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL222	0.918	0.319	0.476	0.371	0.928	0.344	0.711	284.0	15.0	0.0	0.011	0.088	0.031	0.001	0.035	0.019	0.0	0.0
CHEMBL229	0.969	0.722	0.467	0.565	0.899	0.565	0.729	273.0	12.0	0.0	0.065	0.013	0.026	0.011	0.032	0.004	0.0	0.0
CHEMBL3729	0.955	0.526	0.556	0.54	0.986	0.53	0.772	273.0	21.0	0.001	0.208	0.235	0.22	0.0	0.212	0.056	0.0	0.0
CHEMBL4523	0.967	0.567	0.619	0.582	0.994	0.582	0.805	258.0	16.0	0.001	0.263	0.293	0.257	0.0	0.256	0.07	0.0	0.0
CHEMBL1800	0.685	0.688	0.952	0.681	0.918	0.64	0.81	252.0	15.0	0.289	0.292	0.007	0.237	0.005	0.309	0.073	0.0	0.0
CHEMBL1862	0.872	0.181	0.571	0.274	0.937	0.284	0.732	248.0	16.0	0.003	0.025	0.265	0.057	0.001	0.063	0.044	0.0	0.0
CHEMBL3717	0.968	0.806	0.467	0.579	0.871	0.592	0.73	240.0	12.0	0.0	0.03	0.013	0.007	0.001	0.007	0.003	0.0	0.0
CHEMBL226	0.802	0.129	0.444	0.184	0.792	0.169	0.635	224.0	13.0	0.037	0.019	0.176	0.031	0.007	0.025	0.014	0.0	0.0
CHEMBL3371	0.927	0.573	0.5	0.532	0.942	0.495	0.733	221.0	17.0	0.0	0.016	0.016	0.014	0.0	0.016	0.004	0.0	0.0
CHEMBL4308	0.918	0.181	0.4	0.247	0.911	0.239	0.674	217.0	10.0	0.001	0.046	0.28	0.093	0.007	0.111	0.063	0.0	0.0
CHEMBL2954	0.949	0.615	0.8	0.659	0.985	0.661	0.879	214.0	11.0	0.001	0.111	0.04	0.042	0.0	0.044	0.009	0.0	0.0
CHEMBL219	0.637	0.296	0.667	0.326	0.848	0.275	0.651	211.0	13.0	0.255	0.051	0.093	0.037	0.007	0.057	0.019	0.0	0.0
CHEMBL4072	0.969	0.917	0.611	0.733	0.966	0.734	0.803	200.0	15.0	0.0	0.021	0.009	0.013	0.002	0.016	0.003	0.0	0.0
CHEMBL232	0.961	0.764	0.6	0.614	0.905	0.63	0.792	198.0	11.0	0.0	0.042	0.12	0.019	0.013	0.02	0.027	0.0	0.0
CHEMBL335	0.98	0.917	0.857	0.882	0.987	0.874	0.924	194.0	15.0	0.0	0.021	0.0	0.005	0.0	0.006	0.0	0.0	0.0
CHEMBL1871	0.971	0.889	0.6	0.713	0.935	0.715	0.798	187.0	13.0	0.0	0.037	0.04	0.039	0.003	0.041	0.011	0.0	0.0
CHEMBL225	0.946	0.25	0.2	0.222	0.836	0.217	0.598	184.0	10.0	0.0	0.188	0.12	0.148	0.005	0.142	0.029	0.0	0.0
CHEMBL3759	0.979	1.0	0.722	0.836	0.839	0.839	0.861	180.0	13.0	0.0	0.0	0.009	0.004	0.004	0.003	0.002	0.0	0.0
CHEMBL3105	0.569	0.029	0.444	0.053	0.596	0.008	0.509	173.0	6.0	0.226	0.001	0.259	0.002	0.015	0.0	0.0	0.0	0.0
CHEMBL259	0.947	0.476	0.417	0.404	0.924	0.402	0.697	173.0	8.0	0.001	0.252	0.146	0.126	0.007	0.145	0.033	0.0	0.0
CHEMBL238	0.704	0.356	0.583	0.32	0.963	0.303	0.647	163.0	9.0	0.172	0.062	0.146	0.035	0.002	0.033	0.006	0.0	0.0
CHEMBL1855	0.948	0.583	0.333	0.413	0.859	0.422	0.664	161.0	11.0	0.0	0.271	0.093	0.13	0.026	0.134	0.022	0.0	0.0
CHEMBL260	0.931	0.25	0.167	0.194	0.788	0.177	0.573	156.0	10.0	0.0	0.062	0.021	0.03	0.024	0.027	0.004	0.0	0.0
CHEMBL3891	0.062	0.062	1.0	0.116	0.913	0.0	0.5	149.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2000	0.844	0.045	0.333	0.08	0.749	0.072	0.601	147.0	7.0	0.015	0.006	0.333	0.019	0.063	0.041	0.044	0.0	0.0
CHEMBL1875	0.968	0.0	0.0	0.0	0.689	0.0	0.5	145.0	4.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.0
