	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL260	0.946	0.5	0.167	0.244	0.783	0.272	0.581	156.0	10.0	0.0	0.25	0.021	0.046	0.01	0.062	0.005	0.0	0.0
CHEMBL3891	0.646	0.021	0.333	0.039	0.874	0.0	0.5	149.0	8.0	0.256	0.001	0.333	0.004	0.001	0.0	0.0	0.0	0.0
CHEMBL2000	0.927	0.417	0.333	0.288	0.86	0.297	0.645	147.0	7.0	0.002	0.271	0.111	0.067	0.004	0.096	0.023	0.0	0.0
CHEMBL1875	0.931	0.0	0.0	0.0	0.877	-0.035	0.481	145.0	4.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CHEMBL2842	0.968	0.167	0.333	0.222	0.892	0.232	0.661	144.0	6.0	0.0	0.083	0.333	0.148	0.021	0.161	0.078	0.0	0.0
CHEMBL4822	0.962	0.667	0.556	0.59	0.987	0.582	0.769	141.0	8.0	0.0	0.083	0.037	0.04	0.0	0.046	0.009	0.0	0.0
CHEMBL280	0.907	0.361	0.4	0.365	0.793	0.329	0.676	140.0	10.0	0.002	0.141	0.12	0.114	0.009	0.119	0.026	0.0	0.0
CHEMBL3473	0.944	0.333	0.333	0.324	0.916	0.302	0.655	140.0	7.0	0.0	0.083	0.111	0.086	0.003	0.09	0.026	0.0	0.0
CHEMBL3510	0.961	0.167	0.167	0.167	0.983	0.153	0.578	139.0	4.0	0.0	0.083	0.083	0.083	0.0	0.082	0.02	0.0	0.0
CHEMBL2617	0.966	0.167	0.167	0.167	0.974	0.161	0.58	137.0	5.0	0.0	0.083	0.083	0.083	0.001	0.078	0.019	0.0	0.0
CHEMBL6136	0.345	0.147	0.778	0.18	0.938	0.098	0.549	128.0	8.0	0.254	0.026	0.148	0.018	0.003	0.029	0.007	0.0	0.0
CHEMBL2360	0.642	0.019	0.333	0.035	0.817	-0.011	0.497	125.0	6.0	0.258	0.001	0.333	0.004	0.017	0.0	0.0	0.0	0.0
