	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
43	CHEMBL2436942-CHEMBL2436941	CHEMBL2436941	CHEMBL2436942	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCOCC1	[R1]N(C)CCO	6.420216403383192	6.552841968657781	0.1326255652745898	1.8200392068322544	-1	0.0	CN(CCO)~c1(N2CCOCC2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
44	CHEMBL2436941-CHEMBL2436944	CHEMBL2436941	CHEMBL2436944	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N1CCOCC1	[R1]c1c[nH]nc1	6.420216403383192	8.698970004336019	2.2787536009528284	1.8200392068322544	1	0.0	N#CC1CCCC1Nc1nc(~c2cn[nH]c2)(N2CCOCC2)nc2c(=O)[nH]ccc12
45	CHEMBL2436942-CHEMBL2436944	CHEMBL2436942	CHEMBL2436944	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]N(C)CCO	[R1]c1c[nH]nc1	6.552841968657781	8.698970004336019	2.146128035678238	1.8200392068322544	1	0.0	CN(CCO)c1(~c2cn[nH]c2)nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1
46	CHEMBL2436944-CHEMBL2436943	CHEMBL2436943	CHEMBL2436944	[R1]c1nc2c(cc[nH]c2=O)c(n1)NC3CCCC3C#N	[R1]c1ccccc1	[R1]c1c[nH]nc1	7.744727494896692	8.698970004336019	0.954242509439326	1.8200392068322544	-1	0.0	N#CC1CCCC1Nc1nc(-c2ccccc2)(~c2cn[nH]c2)nc2c(=O)[nH]ccc12
47	CHEMBL2436946-CHEMBL2436947	CHEMBL2436947	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]C(C)(C)C	6.1487416512809245	7.008773924307505	0.8600322730265804	1.8200392068322544	-1	1.0	CC(C)(C)CN(c1ncnc2c(=O)[nH]ccc12)~C(C)(C)C
48	CHEMBL2436946-CHEMBL2436948	CHEMBL2436948	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCC1	[R1]C(C)(C)C	6.920818753952375	7.008773924307505	0.08795517035513001	1.8200392068322544	-1	1.0	CC(C)(C)~N(c1ncnc2c(=O)[nH]ccc12)C1CCC1
49	CHEMBL2436946-CHEMBL2436949	CHEMBL2436946	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C(C)(C)C	[R1]C1CCCC1	7.008773924307505	7.1249387366083	0.116164812300795	1.8200392068322544	-1	1.0	CC(C)(C)N(c1ncnc2c(=O)[nH]ccc12)~C1CCCC1
50	CHEMBL2436946-CHEMBL2436952	CHEMBL2436952	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC1CCCC1	[R1]C(C)(C)C	6.1911141326401875	7.008773924307505	0.8176597916673165	1.8200392068322544	-1	1.0	CC(C)(C)~N(CC1CCCC1)c1ncnc2c(=O)[nH]ccc12
51	CHEMBL2436946-CHEMBL2436954	CHEMBL2436954	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]C(C)(C)C	6.049148541111452	7.008773924307505	0.9596253831960526	1.8200392068322544	-1	1.0	CC(C)(C)~N(c1ncnc2c(=O)[nH]ccc12)C1CCOCC1
52	CHEMBL2436946-CHEMBL2436955	CHEMBL2436955	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]C(C)(C)C	6.17979854051436	7.008773924307505	0.8289753837931446	1.8200392068322544	-1	1.0	CC(C)(C)~N(c1ncnc2c(=O)[nH]ccc12)C1CCCOC1
53	CHEMBL2436946-CHEMBL2436961	CHEMBL2436961	CHEMBL2436946	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCC1O	[R1]C(C)(C)C	6.3439017979871695	7.008773924307505	0.6648721263203354	1.8200392068322544	-1	1.0	CC(C)(C)~N(c1ncnc2c(=O)[nH]ccc12)C1CCCC1O
54	CHEMBL2436948-CHEMBL2436947	CHEMBL2436947	CHEMBL2436948	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]C1CCC1	6.1487416512809245	6.920818753952375	0.7720771026714504	1.8200392068322544	-1	1.0	CC(C)(C)CN(c1ncnc2c(=O)[nH]ccc12)~C1CCC1
55	CHEMBL2436949-CHEMBL2436947	CHEMBL2436947	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]C1CCCC1	6.1487416512809245	7.1249387366083	0.9761970853273754	1.8200392068322544	-1	1.0	CC(C)(C)CN(c1ncnc2c(=O)[nH]ccc12)~C1CCCC1
56	CHEMBL2436947-CHEMBL2436952	CHEMBL2436947	CHEMBL2436952	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]CC1CCCC1	6.1487416512809245	6.1911141326401875	0.042372481359263865	1.8200392068322544	-1	1.0	CC(C)(C)CN(~CC1CCCC1)c1ncnc2c(=O)[nH]ccc12
57	CHEMBL2436954-CHEMBL2436947	CHEMBL2436954	CHEMBL2436947	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]CC(C)(C)C	6.049148541111452	6.1487416512809245	0.09959311016947224	1.8200392068322544	-1	1.0	CC(C)(C)C~N(c1ncnc2c(=O)[nH]ccc12)C1CCOCC1
58	CHEMBL2436955-CHEMBL2436947	CHEMBL2436947	CHEMBL2436955	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]C1CCCOC1	6.1487416512809245	6.17979854051436	0.03105688923343575	1.8200392068322544	-1	1.0	CC(C)(C)CN(c1ncnc2c(=O)[nH]ccc12)~C1CCCOC1
59	CHEMBL2436961-CHEMBL2436947	CHEMBL2436947	CHEMBL2436961	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC(C)(C)C	[R1]C1CCCC1O	6.1487416512809245	6.3439017979871695	0.19516014670624493	1.8200392068322544	-1	1.0	CC(C)(C)CN(c1ncnc2c(=O)[nH]ccc12)~C1CCCC1O
60	CHEMBL2436948-CHEMBL2436949	CHEMBL2436948	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCC1	[R1]C1CCCC1	6.920818753952375	7.1249387366083	0.204119982655925	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCC3)~C3CCCC3)ncnc12
61	CHEMBL2436948-CHEMBL2436952	CHEMBL2436952	CHEMBL2436948	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC1CCCC1	[R1]C1CCC1	6.1911141326401875	6.920818753952375	0.7297046213121865	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(CC3CCCC3)~C3CCC3)ncnc12
62	CHEMBL2436948-CHEMBL2436954	CHEMBL2436954	CHEMBL2436948	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]C1CCC1	6.049148541111452	6.920818753952375	0.8716702128409226	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCOCC3)~C3CCC3)ncnc12
63	CHEMBL2436948-CHEMBL2436955	CHEMBL2436955	CHEMBL2436948	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]C1CCC1	6.17979854051436	6.920818753952375	0.7410202134380146	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCOC3)~C3CCC3)ncnc12
64	CHEMBL2436948-CHEMBL2436961	CHEMBL2436961	CHEMBL2436948	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCC1O	[R1]C1CCC1	6.3439017979871695	6.920818753952375	0.5769169559652054	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCC3O)~C3CCC3)ncnc12
65	CHEMBL2436949-CHEMBL2436952	CHEMBL2436952	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC1CCCC1	[R1]C1CCCC1	6.1911141326401875	7.1249387366083	0.9338246039681116	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(CC3CCCC3)~C3CCCC3)ncnc12
66	CHEMBL2436949-CHEMBL2436955	CHEMBL2436955	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]C1CCCC1	6.17979854051436	7.1249387366083	0.9451401960939396	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCOC3)~C3CCCC3)ncnc12
67	CHEMBL2436949-CHEMBL2436961	CHEMBL2436961	CHEMBL2436949	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCC1O	[R1]C1CCCC1	6.3439017979871695	7.1249387366083	0.7810369386211304	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCC3O)~C3CCCC3)ncnc12
68	CHEMBL2436954-CHEMBL2436952	CHEMBL2436954	CHEMBL2436952	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]CC1CCCC1	6.049148541111452	6.1911141326401875	0.1419655915287361	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(~CC3CCCC3)C3CCOCC3)ncnc12
69	CHEMBL2436955-CHEMBL2436952	CHEMBL2436955	CHEMBL2436952	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]CC1CCCC1	6.17979854051436	6.1911141326401875	0.011315592125828113	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(~CC3CCCC3)C3CCCOC3)ncnc12
70	CHEMBL2436961-CHEMBL2436952	CHEMBL2436952	CHEMBL2436961	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]CC1CCCC1	[R1]C1CCCC1O	6.1911141326401875	6.3439017979871695	0.15278766534698107	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(CC3CCCC3)~C3CCCC3O)ncnc12
71	CHEMBL2436955-CHEMBL2436954	CHEMBL2436954	CHEMBL2436955	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]C1CCCOC1	6.049148541111452	6.17979854051436	0.130649999402908	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCOCC3)~C3CCCOC3)ncnc12
72	CHEMBL2436961-CHEMBL2436954	CHEMBL2436954	CHEMBL2436961	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCOCC1	[R1]C1CCCC1O	6.049148541111452	6.3439017979871695	0.2947532568757172	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCOCC3)~C3CCCC3O)ncnc12
73	CHEMBL2436961-CHEMBL2436955	CHEMBL2436955	CHEMBL2436961	[R1]Nc1c2cc[nH]c(=O)c2ncn1	[R1]C1CCCOC1	[R1]C1CCCC1O	6.17979854051436	6.3439017979871695	0.16410325747280918	1.8200392068322544	-1	1.0	O=c1[nH]ccc2c(N(C3CCCOC3)~C3CCCC3O)ncnc12
