,1,2,bool
[CH]=C1CC[N][C]1,8,8,True
CS(=O)(=O)N([CH2])[C],8,8,True
[R1]C(C)[CH2],319,319,True
[CH]C[N],50,50,True
[R1]C(C)C[N],4,4,True
[R1]C(C)CN([CH2])[CH2],4,4,True
CCN(CC)C[CH],36,36,True
[CH2]C([CH2])[CH],45,45,True
[R1]C(C[N])C([CH2])[CH2],32,32,True
[R1]C([CH])CN([CH2])[CH2],32,32,True
[R1]C([CH2])C1CCCC1,16,16,True
[CH]C1CCCC1,16,16,True
C1CC[CH]C1,34,34,True
[R1]C([CH2])C(C[CH2])C[CH2],16,16,True
[CH2]CCC([CH2])[CH],29,29,True
[NH2],203,203,True
[CH2]C([CH2])N,15,15,True
[CH]N,59,59,True
[CH2]C(CC(=[C])[C])N,15,15,True
[CH2]CC(C[C])N,15,15,True
[CH2]C(CC[C])N,15,15,True
[CH2]C([CH2])[NH],32,32,True
CN[CH],17,17,True
C[NH],42,42,True
[CH2]C(CC(=[C])[C])[NH],14,14,True
CNC(C[CH2])C[C],14,14,True
[CH2]C(CC[C])[NH],14,14,True
CNC([CH2])[CH2],14,14,True
[CH]C(=[C])CN([CH])[N],11,11,True
[CH]C(=[C])[NH],18,18,True
[C]N[S],12,12,True
CS(=O)(=O)[NH],13,13,True
[R1]C(=C([CH])[NH])C=[CH],12,12,True
[CH]C=CC(=[C])[NH],18,18,True
[R1]C(=C(C=[CH])N[S])[CH],12,12,True
CS(=O)(=O)NC(=[C])[CH],12,12,True
CS(=O)(=O)N[C],12,12,True
[R1]C(C[CH2])C([CH2])[CH2],9,9,True
[R1]C([CH2])C(C[CH2])C[N],9,9,True
[CH2]C([CH])CN([CH])[N],9,9,True
[CH]Cn1cncn1,9,9,True
[CH2]CN,63,63,True
[CH2]N,116,116,True
[CH2]NCCN,10,10,True
C(C[NH])N,15,15,True
[CH2]CO,36,36,True
[CH2]O,81,81,True
[CH2]CCN[CH2],11,11,True
C(C[NH])CO,10,10,True
[CH2]CCO,10,10,True
CN([CH2])[CH2],43,43,True
CN([CH2])CC(=[C])[CH],16,16,True
CN(C[CH2])C[C],30,30,True
CN([CH2])CCO,8,8,True
C(CO)[N],8,8,True
[CH2]N[CH],100,100,True
[CH]C(=[C])CN[CH],16,16,True
[C]CNC1CC1,8,8,True
[CH2]NC1CC1,8,8,True
[CH2]C([CH2])NC[C],8,8,True
[CH2]NC1CCCC1,8,8,True
C1CCC(C1)[NH],8,8,True
