	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1800	0.991	0.952	0.905	0.927	0.953	0.923	0.951	252.0	15.0	0.0	0.007	0.007	0.005	0.002	0.006	0.002	0.0	0.0
CHEMBL1862	0.903	0.214	0.238	0.217	0.853	0.183	0.594	248.0	16.0	0.003	0.066	0.048	0.054	0.01	0.049	0.01	0.0	0.0
CHEMBL3717	0.968	0.867	0.467	0.581	0.931	0.609	0.73	240.0	12.0	0.0	0.053	0.013	0.0	0.001	0.001	0.003	0.0	0.0
CHEMBL226	0.948	0.778	0.278	0.392	0.862	0.431	0.635	224.0	13.0	0.0	0.037	0.009	0.008	0.002	0.001	0.002	0.0	0.0
CHEMBL3371	0.941	0.667	0.583	0.616	0.941	0.59	0.778	221.0	17.0	0.0	0.0	0.021	0.006	0.002	0.006	0.005	0.0	0.0
CHEMBL4308	0.936	0.5	0.867	0.623	0.954	0.625	0.903	217.0	10.0	0.002	0.046	0.013	0.043	0.001	0.041	0.006	0.0	0.0
CHEMBL2954	0.989	1.0	0.8	0.88	0.995	0.885	0.9	214.0	11.0	0.0	0.0	0.04	0.016	0.0	0.014	0.01	0.0	0.0
CHEMBL219	0.96	0.583	0.333	0.413	0.891	0.425	0.665	211.0	13.0	0.0	0.271	0.093	0.13	0.005	0.136	0.023	0.0	0.0
CHEMBL4072	0.966	1.0	0.5	0.656	0.994	0.688	0.75	200.0	15.0	0.0	0.0	0.028	0.023	0.0	0.015	0.007	0.0	0.0
CHEMBL232	0.934	0.467	0.533	0.474	0.956	0.455	0.746	198.0	11.0	0.0	0.003	0.053	0.003	0.0	0.004	0.01	0.0	0.0
CHEMBL335	0.964	0.787	0.905	0.815	0.983	0.814	0.937	194.0	15.0	0.0	0.043	0.027	0.005	0.0	0.005	0.005	0.0	0.0
CHEMBL1871	0.963	0.702	0.8	0.727	0.971	0.721	0.887	187.0	13.0	0.0	0.017	0.04	0.005	0.0	0.005	0.008	0.0	0.0
CHEMBL225	0.954	0.833	0.4	0.529	0.911	0.552	0.696	184.0	10.0	0.0	0.083	0.0	0.005	0.0	0.014	0.0	0.0	0.0
CHEMBL3759	0.966	1.0	0.556	0.692	0.95	0.72	0.778	180.0	13.0	0.0	0.0	0.065	0.042	0.004	0.03	0.016	0.0	0.0
CHEMBL3105	0.04	0.04	1.0	0.077	0.602	0.0	0.5	173.0	6.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0
CHEMBL259	0.956	0.667	0.167	0.267	0.887	0.327	0.583	173.0	8.0	0.0	0.333	0.021	0.053	0.021	0.08	0.005	0.0	0.0
CHEMBL238	0.972	0.783	0.75	0.758	0.983	0.748	0.868	163.0	9.0	0.0	0.041	0.0	0.009	0.0	0.011	0.0	0.0	0.0
CHEMBL1855	0.967	0.917	0.6	0.722	0.826	0.725	0.797	161.0	11.0	0.0	0.021	0.0	0.002	0.015	0.004	0.0	0.0	0.0
CHEMBL260	0.951	0.556	0.25	0.324	0.875	0.348	0.622	156.0	10.0	0.0	0.259	0.062	0.086	0.008	0.092	0.015	0.0	0.0
CHEMBL3891	0.944	0.5	0.25	0.3	0.949	0.318	0.62	149.0	8.0	0.0	0.25	0.062	0.07	0.001	0.076	0.014	0.0	0.0
CHEMBL2000	0.943	0.417	0.444	0.429	0.9	0.4	0.706	147.0	7.0	0.001	0.049	0.037	0.043	0.0	0.048	0.011	0.0	0.0
CHEMBL1875	0.958	0.083	0.167	0.111	0.926	0.108	0.575	145.0	4.0	0.0	0.021	0.083	0.037	0.0	0.035	0.017	0.0	0.0
CHEMBL2842	0.968	0.167	0.167	0.167	0.783	0.161	0.581	144.0	6.0	0.0	0.083	0.083	0.083	0.068	0.078	0.019	0.0	0.0
CHEMBL4822	0.984	0.806	0.889	0.841	0.994	0.836	0.939	141.0	8.0	0.0	0.03	0.037	0.028	0.0	0.031	0.01	0.0	0.0
