nonstereo_aromatic_smiles	accession	standard_type	organism	lower_pPot_lim	pPot_mean	upper_pPot_lim	chembl_cid	chembl_tid
CS(=O)(=O)N1CCN(CC(O)CN2C3CCC2CC(NC(=O)c2cccc4[nH]cnc24)C3)CC1	Q13639	Kd	Homo sapiens		6.499996931948306		CHEMBL2402888	CHEMBL1875
CS(=O)(=O)N1CCN(CC(O)CN2CCC(CNC(=O)c3cccc4[nH]c(-c5ccccc5)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		8.899974269892137		CHEMBL2402895	CHEMBL1875
CS(=O)(=O)N1CCN(CC(O)CN2CCC(CNC(=O)c3cccc4[nH]c(C5CC5)nc34)CC2)CC1	Q13639	Kd	Homo sapiens		9.299988937677886		CHEMBL2402892	CHEMBL1875
CS(=O)(=O)N1CCN(CC(O)CN2CCC(CNC(=O)c3cccc4[nH]cnc34)CC2)CC1	Q13639	Kd	Homo sapiens		8.199970640755865		CHEMBL2402887	CHEMBL1875
CS(=O)(=O)N1CCN(CC(O)CN2CCC(NC(=O)c3cccc4[nH]cnc34)CC2)CC1	Q13639	Kd	Homo sapiens		6.5999976540720455		CHEMBL2402889	CHEMBL1875
CS(=O)(=O)N1CCN(S(=O)(=O)CCCN2CCC(CNC(=O)c3cccc4c3OCCO4)CC2)CC1	Q13639	Kd	Homo sapiens		9.500038134403807		CHEMBL179799	CHEMBL1875
CSC1=NC(=O)C(=Cc2c[nH]c3c(Br)cccc23)N1	Q13639	Kd	Homo sapiens		5.6298571529488965		CHEMBL2058701	CHEMBL1875
CSC1=NC(=O)C(=Cc2c[nH]c3cc(Br)ccc23)N1	Q13639	Kd	Homo sapiens		5.275069085807602		CHEMBL2058700	CHEMBL1875
CSC1=NC(=O)C(=Cc2c[nH]c3ccc(Br)cc23)N1	Q13639	Kd	Homo sapiens		5.42033070644528		CHEMBL2058699	CHEMBL1875
CSC1=NC(=O)C(=Cc2c[nH]c3cccc(Br)c23)N1	Q13639	Kd	Homo sapiens		5.973466735476704		CHEMBL2058698	CHEMBL1875
Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCCS5(=O)=O)c4)CC3)cccc2n1	Q13639	Kd	Homo sapiens		5.100000128334196		CHEMBL522708	CHEMBL1875
Cc1cn2c(N)c(Cl)cc(C(=O)NCC3CCNCC3)c2n1	Q13639	Kd	Homo sapiens		7.236572006437062		CHEMBL4533922	CHEMBL1875
Fc1cccc2c1nc(OCC1CCN(CCC(F)(F)F)CC1)c1cccnc12	Q13639	Kd	Homo sapiens		9.958607314841776		CHEMBL3093186	CHEMBL1875
Fc1cccc2c1nc(OCC1CCN(CCCC(F)(F)F)CC1)c1cccnc12	Q13639	Kd	Homo sapiens		9.69897000433602		CHEMBL3093187	CHEMBL1875
Fc1cccc2c1nc(OCC1CCN(CCCc3ccc(I)cc3)CC1)c1cccnc12	Q13639	Kd	Homo sapiens		9.638272163982409		CHEMBL2181166	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCC3(CCCC3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		10.599980364934842		CHEMBL361118	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCCCC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		9.700057099977233		CHEMBL181928	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C(=O)c3ccco3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		10.0		CHEMBL180830	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(C3CCCC3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		10.79997073344623		CHEMBL180835	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(Cc3cccnc3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		9.79997073344623		CHEMBL181415	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(S(=O)(=O)N3CCCC3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		10.100015437450608		CHEMBL360449	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		10.299988937677886		CHEMBL180680	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCN(c3ccccn3)CC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		9.599980364934842		CHEMBL360531	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCNCC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		9.79997073344623		CHEMBL180697	CHEMBL1875
O=C(NCC1CCN(CCCS(=O)(=O)N2CCOCC2)CC1)c1cccc2c1OCCO2	Q13639	Kd	Homo sapiens		9.4000078224159		CHEMBL362582	CHEMBL1875
O=C(NCC1CCNCC1)c1c2n(c3ccccc13)CCCO2	Q13639	Kd	Homo sapiens		7.199970640755867		CHEMBL2440452	CHEMBL1875
O=C1C(=Nc2cccc(C(F)(F)F)c2)c2ccccc2N1c1ccccc1	Q13639	Kd	Homo sapiens		7.142667503568732		CHEMBL210288	CHEMBL1875
O=C1NC(=S)NC1=Cc1c[nH]c2c(Br)cccc12	Q13639	Kd	Homo sapiens		5.654822383457296		CHEMBL2058697	CHEMBL1875
O=C1NC(=S)NC1=Cc1c[nH]c2cccc(Br)c12	Q13639	Kd	Homo sapiens		5.6272720591144045		CHEMBL2058694	CHEMBL1875
