	n_tr	n_ac_tr	n_cpdout	n_ac_cpdout	n_bothout	n_ac_bothout	prop_tr	prop_cpdout	prop_bothout
CHEMBL3891-Seed11	150	8	60	3	4	1	0.7009345794392523	0.2803738317757009	0.018691588785046728
CHEMBL3891-Seed12	162	6	49	5	3	1	0.7570093457943925	0.22897196261682243	0.014018691588785047
CHEMBL2000-Seed10	158	7	48	2	5	1	0.7488151658767772	0.22748815165876776	0.023696682464454975
CHEMBL2000-Seed13	143	5	61	4	7	1	0.6777251184834123	0.2890995260663507	0.03317535545023697
CHEMBL2000-Seed14	128	7	74	1	9	2	0.6066350710900474	0.35071090047393366	0.04265402843601896
CHEMBL1875-Seed22	126	3	73	2	9	1	0.6057692307692307	0.35096153846153844	0.04326923076923077
CHEMBL1875-Seed29	119	2	80	3	9	1	0.5721153846153846	0.38461538461538464	0.04326923076923077
CHEMBL1875-Seed31	125	3	73	2	10	1	0.6009615384615384	0.35096153846153844	0.04807692307692308
CHEMBL2842-Seed2	125	5	72	2	9	1	0.6067961165048543	0.34951456310679613	0.043689320388349516
CHEMBL2842-Seed10	142	5	59	2	5	1	0.6893203883495146	0.28640776699029125	0.024271844660194174
CHEMBL2842-Seed17	141	3	57	4	8	1	0.6844660194174758	0.2766990291262136	0.038834951456310676
CHEMBL4822-Seed1	116	3	76	6	10	2	0.5742574257425742	0.37623762376237624	0.04950495049504951
CHEMBL4822-Seed2	124	5	68	3	10	3	0.6138613861386139	0.33663366336633666	0.04950495049504951
CHEMBL4822-Seed15	126	7	68	3	8	1	0.6237623762376238	0.33663366336633666	0.039603960396039604
CHEMBL280-Seed1	124	5	68	9	9	1	0.6169154228855721	0.3383084577114428	0.04477611940298507
CHEMBL280-Seed2	143	13	51	1	7	1	0.7114427860696517	0.2537313432835821	0.03482587064676617
CHEMBL280-Seed5	144	11	54	3	3	1	0.7164179104477612	0.26865671641791045	0.014925373134328358
CHEMBL3473-Seed6	149	6	44	3	7	1	0.745	0.22	0.035
CHEMBL3473-Seed10	132	5	60	3	8	2	0.66	0.3	0.04
CHEMBL3473-Seed12	132	2	58	7	10	1	0.66	0.29	0.05
CHEMBL3510-Seed5	136	3	55	2	8	1	0.6834170854271356	0.27638190954773867	0.04020100502512563
CHEMBL3510-Seed6	126	1	66	4	7	1	0.6331658291457286	0.3316582914572864	0.035175879396984924
CHEMBL3510-Seed12	107	2	80	3	12	1	0.5376884422110553	0.4020100502512563	0.06030150753768844
CHEMBL2617-Seed3	146	4	47	2	3	1	0.7448979591836735	0.23979591836734693	0.015306122448979591
CHEMBL2617-Seed7	126	5	63	1	7	1	0.6428571428571429	0.32142857142857145	0.03571428571428571
CHEMBL2617-Seed9	150	4	44	2	2	1	0.7653061224489796	0.22448979591836735	0.01020408163265306
CHEMBL6136-Seed3	126	6	51	4	6	1	0.6885245901639344	0.2786885245901639	0.03278688524590164
CHEMBL6136-Seed4	110	3	63	6	10	2	0.6010928961748634	0.3442622950819672	0.0546448087431694
CHEMBL6136-Seed5	87	1	79	7	17	3	0.47540983606557374	0.43169398907103823	0.09289617486338798
CHEMBL2360-Seed1	118	6	55	2	6	1	0.659217877094972	0.30726256983240224	0.0335195530726257
