,1,2,3,4,5,6,7
-235367624,[nan],['[CH]=CC=C([C])[C]' '[CH]C=CC(=[C])[C]'],1,2,False,True,True
1239876472,[nan],['[CH]C=c1c(=[CH])[c]c[nH]1' '[CH]C=c1c(=[C])cc[nH]1'],1,2,False,True,True
760601501,[nan],['[R1]C(=c1cc[nH]c1=[CH])[CH]' '[R1]c1c[nH]c(=[CH])c1=C[CH]'],1,2,False,True,True
-1634267163,[nan],['[CH]=C([C])[S]' '[CH]C(=[C])[S]'],1,2,False,True,True
1827161346,[nan],['[CH]=CC=C([C])[S]' '[CH]C=CC(=[C])[S]'],1,2,False,True,True
149972441,[nan],['[R1]C(=[CH])[N]' '[R1]C(=[N])[CH]'],1,2,False,True,True
1877954835,[nan],['[CH]=N[C]' '[CH]N=[C]'],1,2,False,True,True
441051193,[nan],['[CH]=CC=C([C])Cl' '[CH]C=CC(=[C])Cl'],1,2,False,True,True
-1880237566,[nan],['[CH2]CN(C[CH2])C[CH2]' '[CH2]CN1CCCC1'],1,2,False,True,True
-859078024,[nan],['[CH2]CCN([CH2])[CH2]' '[CH2]N1CCCC1'],1,2,False,True,True
-1494135497,[nan],['C1CC[N]C1' '[CH2]CCC[N]'],1,2,False,True,True
-1144763682,[nan],['[R1]CN(C[CH2])C[CH2]' '[R1]CN1CCCC1'],1,2,False,True,True
138747412,[nan],['[R1]N(C[CH2])C[CH2]' '[R1]N1CCCC1'],1,2,False,True,True
1878376036,[nan],['[R1]N([CH2])CC[CH2]' '[R1]N1CCCC1'],1,2,False,True,True
1805374329,[nan],['[CH2]C([CH2])[CH2]' '[CH2]C1CC1'],1,2,False,True,True
1748413272,[nan],['[R1]CCC(=[CH])[C]' '[R1]CCC(=[C])[CH]'],1,2,False,True,True
-338218016,[nan],['[R1]C(=CC(=[CH])[O])[CH]' '[R1]C(=[CH])C=C([CH])[O]'],1,2,False,True,True
-293370843,[nan],['[CH]=C([C])F' '[CH]C(=[C])F'],1,2,False,True,True
-733341197,[nan],['[CH2]OC(=C[CH])C=[C]' '[CH2]OC(=C[C])C=[CH]'],1,2,False,True,True
-449821425,[nan],['CC(=C[CH])C=[C]' 'CC(=C[C])C=[CH]'],1,2,False,True,True
1583510538,[nan],['[CH]=CC(=C[C])C(F)(F)F' '[CH]C=C(C=[C])C(F)(F)F'],1,2,False,True,True
1519268339,[nan],['[CH]=C([C])[N]' '[CH]C(=[C])[N]'],1,2,False,True,True
-1822804686,[nan],['[CH]=CC=C([C])[N]' '[CH]C=CC(=[C])[N]'],1,2,False,True,True
102662294,[nan],['[R1]C(=CC(=[C])F)[CH]' '[R1]C(=[CH])C=C([C])F'],1,2,False,True,True
-916069435,[nan],['C1COC[CH]1' '[CH2]OCC[CH]'],1,2,False,True,True
-1405956328,[nan],['[R1]C(=CN=[CH])[CH]' '[R1]C(=[CH])C=N[CH]'],1,2,False,True,True
1517836481,[nan],['[CH2]C(=[CH])[N]' '[CH2]C(=[N])[CH]'],1,2,False,True,True
172110405,[nan],['[R1]CC(=[CH])[N]' '[R1]CC(=[N])[CH]'],1,2,False,True,True
-577331766,[nan],['[CH2]C(=CN=[CH])[CH]' '[CH2]C(=[CH])C=N[CH]'],1,2,False,True,True
543989235,[nan],['[CH]=CC(=C[C])F' '[CH]C=C(C=[C])F'],1,2,False,True,True
-930558739,[nan],['[R1]NCC(=[CH])[N]' '[R1]NCC(=[N])[CH]'],1,2,False,True,True
