	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1898	0.919	0.0	0.0	0.0	0.481	-0.035	0.481	103.0	5.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CHEMBL333	0.977	0.806	0.889	0.841	0.936	0.833	0.936	100.0	6.0	0.001	0.03	0.037	0.028	0.01	0.032	0.01	0.0	0.0
CHEMBL5407	0.953	0.746	0.833	0.766	0.9	0.756	0.9	99.0	10.0	0.002	0.051	0.083	0.047	0.02	0.053	0.02	0.0	0.0
CHEMBL1163125	0.907	0.0	0.0	0.0	0.476	-0.046	0.476	98.0	5.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL216	0.922	0.056	0.167	0.083	0.563	0.077	0.563	98.0	4.0	0.003	0.009	0.083	0.021	0.012	0.018	0.012	0.0	0.0
CHEMBL5113	0.984	0.889	0.889	0.889	0.94	0.88	0.94	97.0	7.0	0.001	0.037	0.037	0.037	0.011	0.043	0.011	0.0	0.0
CHEMBL3018	0.976	1.0	0.75	0.841	0.875	0.848	0.875	94.0	8.0	0.001	0.0	0.062	0.028	0.016	0.024	0.016	0.0	0.0
CHEMBL4482	0.889	0.0	0.0	0.0	0.481	-0.043	0.481	90.0	6.0	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0
CHEMBL1795117	0.974	0.889	0.778	0.822	0.884	0.815	0.884	90.0	8.0	0.001	0.037	0.037	0.028	0.01	0.033	0.01	0.0	0.0
CHEMBL202	0.856	0.27	0.333	0.289	0.618	0.219	0.618	84.0	6.0	0.004	0.012	0.0	0.006	0.001	0.009	0.001	0.0	0.0
CHEMBL235	0.907	0.0	0.0	0.0	0.48	-0.038	0.48	83.0	3.0	0.002	0.0	0.0	0.0	0.001	0.001	0.001	0.0	0.0
CHEMBL3922	0.889	0.0	0.0	0.0	0.471	-0.048	0.471	81.0	5.0	0.003	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0
CHEMBL2079846	0.933	0.0	0.0	0.0	0.495	-0.014	0.495	79.0	4.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CHEMBL2056	0.951	0.333	0.167	0.222	0.583	0.232	0.583	79.0	3.0	0.0	0.333	0.083	0.148	0.021	0.162	0.021	0.0	0.0
CHEMBL3267	0.956	0.667	0.333	0.444	0.667	0.463	0.667	68.0	4.0	0.0	0.333	0.083	0.148	0.021	0.161	0.021	0.0	0.0
CHEMBL321	0.92	0.111	0.167	0.133	0.571	0.118	0.571	66.0	4.0	0.0	0.037	0.083	0.053	0.015	0.042	0.015	0.0	0.0
CHEMBL4361	0.901	0.178	0.5	0.244	0.711	0.254	0.711	63.0	3.667	0.003	0.028	0.25	0.046	0.045	0.049	0.045	0.0	0.333
CHEMBL1946	0.951	0.167	0.333	0.222	0.654	0.218	0.654	61.0	3.0	0.0	0.083	0.333	0.148	0.08	0.17	0.08	0.0	0.0
CHEMBL2014	0.897	0.0	0.0	0.0	0.486	-0.028	0.486	60.0	4.0	0.002	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0
CHEMBL3979	0.957	0.333	0.333	0.333	0.659	0.318	0.659	51.0	3.0	0.002	0.333	0.333	0.333	0.087	0.349	0.087	0.0	0.0
CHEMBL208	0.924	0.0	0.0	0.0	0.484	-0.023	0.484	51.0	3.0	0.003	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0
CHEMBL203	0.889	0.167	0.333	0.222	0.625	0.194	0.625	48.0	3.0	0.012	0.083	0.333	0.148	0.094	0.187	0.094	0.0	0.0
CHEMBL262	0.937	0.833	0.5	0.611	0.741	0.609	0.741	47.0	3.0	0.001	0.083	0.0	0.009	0.0	0.019	0.0	0.0	0.0
